,0,1
1,-8.1832695,11.508881
10,-8.178704,11.534705
11,-8.16892,11.485215
12,-8.1554,11.417507
2,-8.180893,11.480862
3,-8.167913,11.488619
4,-8.185326,11.479472
5,-8.162709,11.522774
6,-8.170738,11.451653
7,-8.182546,11.485504
8,-8.170141,11.434742
9,-8.175336,11.486273
able,-2.1470876,1.4910567
about,0.4904159,-0.80897963
above,1.0906328,-1.2052054
accept,-0.7635726,0.74460983
ached,0.6622987,-1.1362212
acquire,0.6624448,1.0644336
across,1.8104143,-1.0708115
acted,-0.60449517,1.7575285
add,-1.1468612,-0.21596622
admit,-1.4287798,-0.12868991
aegon,-1.6661861,1.6597613
aegons,0.66320854,-1.4944874
aerys,-2.8160815,1.6357841
affection,0.5264123,-0.6377441
afraid,-0.61963564,-0.51700824
after,1.0395982,-1.5434297
afterward,-1.0424311,-0.566349
again,-0.5312978,-1.2475326
against,1.5628816,-1.4901757
aged,-0.097862564,0.5951556
ah,-1.1318606,-0.16726491
ahead,-1.4903592,-3.087558
air,3.309047,-5.0592456
alas,3.1990335,-6.308534
albino,-1.3516742,0.25267363
alchemists,0.80579746,1.6505213
alike,3.9895334,-3.163053
alive,3.0273857,0.9441871
all,-0.8341985,0.5200765
allegiance,-0.8887957,-0.3725665
allow,-2.1009302,-0.7000412
allowed,-0.24609269,-0.9694229
allows,0.5701489,0.004227141
almost,1.0698658,-0.65781534
alone,-1.9356456,-0.11073148
along,2.3798378,-1.1715658
already,-2.139773,1.4889939
also,-1.7011837,-0.23073229
always,-0.9803812,-0.3741877
am,-3.2630079,0.123848386
amidst,5.1034193,1.9492645
amused,-1.1074672,-1.9860084
an,-1.3589565,1.0030638
anchorage,2.0510736,-0.50468713
ancient,1.8360174,0.97074217
anger,1.4140879,1.2479248
angle,-2.363998,2.9918566
angry,2.1138747,-1.6398547
ankles,0.3081197,-1.139052
announced,-2.6919134,-3.56731
another,-0.63939214,-0.1233884
answer,-1.314233,0.32531247
answered,-1.9658518,-0.83244556
antlers,2.3325105,-0.8148757
anxious,-2.2383559,-1.2428321
any,1.1120217,-2.5097117
anymore,-1.5317308,0.5379168
anyone,-1.2692357,1.6243321
appeal,-2.0192509,-0.39963645
appear,0.5559428,-2.0047338
arbor,2.4902277,2.646521
arched,2.7495306,-0.8036862
archers,0.16308159,3.0189385
are,-1.9516416,0.5542603
argument,-0.37634403,0.028774757
arm,-1.5576171,0.37128922
armies,-3.842933,-2.2624242
armor,1.3113062,0.0011498438
army,-0.93966717,1.6443402
around,0.11147746,-0.9338068
arrows,-0.21800837,2.9833167
arryn,-1.5330608,-0.65592104
arryns,-6.3100677,0.79901403
art,0.10672661,-0.4253725
as,-1.1763319,-0.3980114
ascend,0.92457074,0.93557036
ash,0.012666023,-1.2485383
aside,0.55555594,-0.769907
ask,-4.073697,-0.019502316
asked,-0.9752873,-0.3438924
asshai,4.453159,0.08780803
asshaii,-2.4714856,1.4416164
at,-1.4058714,1.0601385
atop,2.8944225,0.8668867
autumn,1.5614413,2.9000504
avenge,-2.55535,-0.10747021
away,-0.61159164,-0.09361283
aye,-2.0043285,2.9540212
babe,-1.34237,0.41512612
back,-0.034600154,-1.1803576
bad,-0.20853318,-0.7453183
bailey,11.661415,15.661778
balcony,1.1083895,-0.31780016
banner,4.925885,-1.2587519
bannerand,-0.86132145,-0.78027105
bannermen,0.4421664,-1.5508423
banners,4.121558,2.561886
bar,-1.6438956,8.253158
baratheon,-0.06997835,-0.71933687
baratheons,0.17438366,-3.5970957
bare,3.908021,1.0245587
bargain,0.20923649,-0.5335084
battlement,3.1837823,-1.8683455
